Call Sign,Radio Service Code,License Holder,FRN,Sprint Equivalent,Block,MHz,POPs,MHz-POPs,License Effective,License Expires,Pending Applications,Tribal License,Lease ID,Lessee Name,Lessee Sprint Equivalent,Lease Commenced,Lease Expires,License Contact,License Email,License Phone
WHR663,ED,SW/WC Service Cooperative,0013478003,No,D,22.5,43918,988155,03/21/2017,04/09/2027,No,No,L000003701,"Clearwire Spectrum Holdings II, LLC",Yes,05/03/2008,04/09/2027,Josh Sumption,josh.sumption@swsc.org,(507)537-2240
WHR662,ED,Board of Trustees Univ of Cincinnati,0014999767,No,A,11.5,1925330,22141295,11/04/2019,10/31/2029,No,No,L000022051,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,10/31/2029,Attn: Office of the General Counsel,board.trustees@uc.edu,(513)556-3233
WHR671,ED,MADISON AREA TECHNICAL COLLEGE,0012235545,No,G,22.5,699587,15740708,10/14/2015,08/22/2025,No,No,L000007352,"Independent Spectrum Madison, LLC",No,05/27/2010,08/22/2025,Carolyn Jarrett,cjarrett@madisoncollege.edu,(608)243-4448
WHR670,ED,BISHOP J. JEANMARD C FOR REL.FORMAT,0016726754,No,B,22.5,511914,11518065,08/30/2017,07/28/2027,No,No,L000042123,"WBSY Licensing, LLC",Yes,10/16/2020,07/28/2027,CFO,,(377)735-9420
WHR669,ED,AUGUSTANA COLLEGE ASSOCIATION dba AUGUSTANA UNIVERSITY,0008343030,No,A,11.0,270249,2972739,06/14/2016,06/17/2026,No,No,L000031174,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,06/17/2026,"Dan Drenkow, CIO",ddrenkow@augie.edu,(605)274-5330
WHR672,ED,"REGENTS OF THE UNIVERSITY OF NEW MEXICO AND THE BOARD OF EDUCATION OF THE CITY OF ALBUQUERQUE, NEW MEXICO (KNME)",0001608025,No,G,22.5,887616,19971360,12/06/2016,11/04/2026,No,No,L000020425,Sprint Spectrum License Holder LLC,Yes,10/26/2021,11/04/2026,FRANZ JOACHIM,fjoachim@nmpbs.org,(505)277-4913
WHR681,ED,"Hispanic Information and Telecommunications Network, Inc.",0006620348,No,C,22.5,1060592,23863320,10/13/2015,10/18/2025,No,No,L000020091,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,10/18/2025,"Jonathan Guerra, General Counsel",Jguerra@HITN.org,(646)731-3630
WHR683,ED,University of North Carolina System Office,0005794433,No,C,22.5,648574,14592915,02/06/2019,08/17/2025,No,No,L000001936,"Fixed Wireless Holdings, LLC",Yes,10/23/2021,08/17/2025,Tom Shanahan,tcshanahan@northcarolina.edu,(919)962-4588
WHR678,ED,WEST CENTRAL MINNESOTA ED'L TV CORP.,0005849286,No,C,22.5,54455,1225238,10/23/2015,08/17/2025,No,No,L000043063,"Info Link Wireless, Inc.",No,02/26/2021,08/17/2025,"Mr. Jon Panzer, Manager",,(320)289-2622
WHR688,ED,BOISE STATE UNIVERSITY,0006080527,No,B,22.5,677933,15253492,10/15/2014,09/16/2024,No,No,L000010126,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,09/16/2024,,,(208)334-2270
WHR686,ED,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO",0003944311,No,G,22.5,417925,9403312,02/27/2018,01/23/2028,No,No,L000001312,"Clearwire Spectrum Holdings II, LLC",Yes,10/21/2006,10/20/2026,Gerard Au,gau@csusb.edu,(909)537-5100
WHR673,ED,"CONNECTICUT PUBLIC BROADCASTING, INC.",0003574662,No,A,22.5,617154,13885965,02/11/2020,05/17/2022,Yes,No,L000000356,"NSAC, LLC",Yes,10/26/2021,05/17/2022,Meg Sakellarides,msakellarides@cptv.org,(860)275-7334
WHR685,ED,UNIVERSITY OF IOWA,0002564607,No,G,22.5,457593,10295842,10/28/2014,11/14/2024,No,No,L000025774,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,11/14/2024,Information Tech. Srvcs.- Tim Evans,tim-evans@uiowa.edu,(319)335-3307
WHR689,ED,BOISE STATE UNIVERSITY,0006080527,No,D,11.5,677933,7796230,10/15/2014,09/14/2024,No,No,L000010125,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,09/14/2024,,,(208)334-2270
WHR684,ED,Chattanooga State Community College,0006890842,No,B,22.5,665245,14968012,05/07/2019,03/11/2029,No,No,L000042004,"WBSY Licensing, LLC",Yes,09/12/2020,03/11/2029,JUDY LOWE,judy.lowe@chattanoogastate.edu,(423)697-2686
WHR682,ED,ST. VINCENT HEALTH CARE,0001646744,No,A,24.0,165183,3964392,10/02/2020,06/20/2025,No,No,L000025880,"Gallatin Wireless Internet, LLC",No,12/23/2017,06/20/2025,Sam Kaufman,samantha.kaufman@sclhealth.org,(406)237-4187
WHR695,ED,EDUCATION SERVICE CENTER REGION 10,0001672872,No,C,22.5,257875,5802188,03/31/2015,03/17/2025,No,No,L000000464,CLEARWIRE SPECTRUM HOLDINGS LLC,Yes,05/18/2006,03/17/2025,Craig Gray,craig.gray@region10.org,(972)348-1376
WHR691,ED,"DeSales Media Group, Inc.",0021033303,No,B,5.5,4981736,27399548,09/15/2021,10/26/2025,No,No,L000020432,Sprint Spectrum License Holder LLC,Yes,10/26/2021,10/26/2025,William Comeau,bcomeau@desalesmedia.org,(718)238-9144
WHR701,ED,BOCES District of St Lawrence and Lewis Counties,0003414646,No,A,22.5,169931,3823448,08/10/2015,08/21/2025,No,No,L000005818,"Clearwire Spectrum Holdings II, LLC",Yes,10/17/2009,10/21/2024,James Chadwick,jchadwick@sllboces.org,(315)386-4504
WHR694,ED,THE REGENTS OF THE UNIVERSITY OF COLORADO,0008352288,No,D,22.5,759041,17078422,12/21/2017,06/08/2025,No,No,L000002478,"Clearwire Spectrum Holdings II, LLC",Yes,10/13/2007,06/08/2025,Harper P. Johnson,hjohnson@uccs.edu,(719)255-3594
WHR698,ED,BOCES District of St Lawrence and Lewis Counties,0003414646,No,G,5.5,168706,927883,08/10/2015,08/21/2025,No,No,L000005816,"Clearwire Spectrum Holdings II, LLC",Yes,10/17/2009,10/21/2024,James Chadwick,jchadwick@sllboces.org,(315)386-4504
WHR696,ED,Clearwire Spectrum Holdings III LLC,0018399998,Yes,A,22.5,633505,14253862,09/27/2021,06/08/2025,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
WHR697,ED,University of North Carolina System Office,0005794433,No,B,22.5,1644275,36996188,02/06/2019,06/20/2025,No,No,L000001923,"Fixed Wireless Holdings, LLC",Yes,10/23/2021,06/20/2025,Tom Shanahan,tcshanahan@northcarolina.edu,(919)962-4588
WHR707,ED,UNIVERSITY OF HAWAII,0001513613,No,G,22.5,144444,3249990,08/25/2015,08/17/2025,No,No,L000007911,Clearwire Hawaii Partners Spectrum LLC,Yes,12/07/2010,08/17/2025,UH ITS Networks,uhits-radio@lists.hawaii.edu,(808)956-0974
WHR699,ED,BOCES District of St Lawrence and Lewis Counties,0003414646,No,G,5.5,112737,620054,08/10/2015,08/21/2025,No,No,L000005817,"Clearwire Spectrum Holdings II, LLC",Yes,10/17/2009,10/21/2024,James Chadwick,jchadwick@sllboces.org,(315)386-4504
WHR712,ED,UNIVERSITY OF HAWAII,0001513613,No,C,22.5,67091,1509548,06/14/2016,07/05/2026,No,No,L000043699,Clearwire Hawaii Partners Spectrum LLC,Yes,06/23/2021,07/05/2026,UH ITS Networks,uhits-radio@lists.hawaii.edu,(808)956-0974
WHR714,ED,UNIVERSITY OF HAWAII,0006710172,No,G,22.5,953207,21447158,08/25/2015,08/17/2025,No,No,L000007912,Clearwire Hawaii Partners Spectrum LLC,Yes,12/07/2010,08/17/2025,UH ITS Networks,uhits-radio@lists.hawaii.edu,(808)956-0974
WHR700,ED,BOCES District of St Lawrence and Lewis Counties,0003414646,No,G,5.5,116499,640744,08/10/2015,08/21/2025,No,No,L000005815,"Clearwire Spectrum Holdings II, LLC",Yes,10/17/2009,10/21/2024,James Chadwick,jchadwick@sllboces.org,(315)386-4504
WHR708,ED,UNIVERSITY OF HAWAII,0001513613,No,G,22.5,100882,2269845,08/25/2015,08/17/2025,No,No,L000007909,Clearwire Hawaii Partners Spectrum LLC,Yes,12/07/2010,08/17/2025,UH ITS Networks,uhits-radio@lists.hawaii.edu,(808)956-0974
WHR709,ED,UNIVERSITY OF HAWAII,0001513613,No,A,22.5,67091,1509548,08/25/2015,08/17/2025,No,No,L000007905,Clearwire Hawaii Partners Spectrum LLC,Yes,12/07/2010,08/17/2025,UH ITS Networks,uhits-radio@lists.hawaii.edu,(808)956-0974
WHR710,ED,UNIVERSITY OF HAWAII,0001513613,No,A,22.5,80375,1808438,03/07/2017,03/10/2027,No,No,L000007906,Clearwire Hawaii Partners Spectrum LLC,Yes,12/07/2010,03/10/2027,UH ITS Networks,uhits-radio@lists.hawaii.edu,(808)956-0974
WHR711,ED,UNIVERSITY OF HAWAII,0001513613,No,A,6.0,144444,866664,08/25/2015,08/17/2025,No,No,L000007910,Clearwire Hawaii Partners Spectrum LLC,Yes,12/07/2010,08/17/2025,UH ITS Networks,uhits-radio@lists.hawaii.edu,(808)956-0974
WHR717,ED,UNIVERSITY OF HAWAII,0001513613,No,A,22.5,10480,235800,08/25/2015,08/17/2025,No,No,L000007908,Clearwire Hawaii Partners Spectrum LLC,Yes,12/07/2010,08/17/2025,UH ITS Networks,uhits-radio@lists.hawaii.edu,(808)956-0974
WHR718,ED,EDUCATION SERVICE CENTER REGION 10,0001672872,No,G,22.5,369751,8319398,03/31/2015,03/17/2025,No,No,L000000466,CLEARWIRE SPECTRUM HOLDINGS LLC,Yes,05/18/2006,03/17/2025,Craig Gray,craig.gray@region10.org,(972)348-1376
WHR716,ED,UNIVERSITY OF HAWAII,0006710172,No,B,22.5,953207,21447158,08/25/2015,08/23/2025,No,No,L000007913,Clearwire Hawaii Partners Spectrum LLC,Yes,12/07/2010,08/23/2025,UH ITS Networks,uhits-radio@lists.hawaii.edu,(808)956-0974
WHR726,ED,SC EDUCATIONAL TELEVISION COMMISSION,0001861160,No,D,22.5,198105,4457362,08/24/2017,11/29/2025,No,No,L000041788,"WBSY Licensing, LLC",Yes,07/23/2020,11/29/2025,Vice President of Engineering,crockett@scetv.org,(803)737-3500
WHR730,ED,BERTHA HEWITT PUBLIC SCHOOL DIST,0017104175,No,A,22.5,66161,1488622,06/17/2017,12/04/2026,No,No,L000040525,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,12/04/2026,Superintendent,scott.wegner@isd786.org,(218)924-2500
WHR727,ED,"UNIVERSITY OF MARYLAND, COLLEGE PARK",0007208515,No,C,22.5,468741,10546672,08/02/2016,01/26/2026,No,No,L000043690,"WBSY Licensing, LLC",Yes,06/12/2021,01/26/2026,"Marty Ronning, Assistant Director",cronning@umd.edu,(301)405-4899
WHR731,ED,BERTHA HEWITT PUBLIC SCHOOL DIST,0017104175,No,A,22.5,86779,1952528,06/17/2017,12/04/2026,No,No,L000040526,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,12/04/2026,Superintendent,scott.wegner@isd786.org,(218)924-2500
WHR724,ED,Board of Regents of the University of Nebraska,0023597818,No,C,22.5,843346,18975285,09/11/2018,07/20/2025,No,No,L000011263,"Independent Spectrum Omaha, LLC",No,12/07/2013,07/20/2025,"Andrew Buker, Exec Dir, Infra Svcs",abuker@nebraska.edu,(402)554-2175
WHR733,ED,Pellissippi State Community College,0001779586,No,C,22.5,994881,22384822,03/12/2022,07/05/2026,No,No,L000043640,"WBSY Licensing, LLC",Yes,05/29/2021,07/05/2026,Chief Information Officer,cio@pstcc.edu,(865)539-7127
WHR737,ED,"HAMPTON ROADS EDUCATIONAL TELECOM. ASSOC., INC.",0002062511,No,A,22.5,186692,4200570,01/04/2017,12/20/2026,No,No,L000001307,"NSAC, LLC",Yes,10/26/2021,08/18/2026,Chris Gunnufsen,Chris.gunnufsen@whro.org,(757)889-9400
WHR749,ED,THE SCHOOL BD OF HERNANDO COUNTY,0011416625,No,A,22.5,510936,11496060,10/25/2017,09/18/2027,No,No,No active leases,N/A,N/A,N/A,N/A,,hitv@hcsb.k12.fl.us,(352)797-7009
WHR746,ED,PORTLAND COMMUNITY COLLEGE,0001558691,No,B,11.0,2391385,26305235,03/28/2017,04/09/2027,No,No,L000042989,"WBSY Licensing, LLC",Yes,01/27/2021,04/09/2027,Loraine P. Schmitt,loraine.schmitt@pcc.edu,(971)722-4398
WHR729,ED,"TDI Acquisition Sub, LLC",0017806084,Yes,A,22.5,925067,20814008,11/17/2021,02/26/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
WHR732,ED,Pellissippi State Community College,0001779586,No,G,22.5,994881,22384822,03/12/2022,07/05/2026,No,No,L000043641,"WBSY Licensing, LLC",Yes,05/29/2021,07/05/2026,Chief Information Office,cio@pstcc.edu,(865)539-7127
WHR750,ED,Clearwire Spectrum Holdings III LLC,0018399998,Yes,B,22.5,383557,8630032,02/13/2022,11/24/2027,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
WHR748,ED,GADSDEN COUNTY SCHOOL BOARD,0007950793,No,D,22.5,389438,8762355,07/12/2016,08/12/2026,No,No,L000042722,"TDI Acquisition Sub, LLC",Yes,10/26/2021,08/12/2026,John Thomas,thomasj@gcpsmail.com,(850)627-9651
WHR751,ED,Clearwire Spectrum Holdings III LLC,0018399998,Yes,G,22.5,202094,4547115,02/13/2022,08/04/2028,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
WHR753,ED,Clearwire Spectrum Holdings II LLC,0015316904,Yes,B,22.5,299209,6732202,10/28/2021,07/05/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
WHR755,ED,"ATLANTA INTERFAITH BROADCASTERS, INC",0001851419,No,B,22.5,4620211,103954748,12/20/2021,10/02/2031,No,No,L000002379,"Clearwire Spectrum Holdings II, LLC",Yes,09/01/2007,10/02/2031,Audrey Daniels,adaniels@aibtv.com,(404)892-0454
WHR736,ED,UNIVERSITY OF SOUTH FLORIDA,0007998925,No,D,22.5,698027,15705608,09/10/2019,08/13/2029,No,No,L000004170,"NSAC, LLC",Yes,10/26/2021,01/01/2029,Ted Netterfield,ted@usf.edu,(813)974-1793
WHR756,ED,"REGENTS OF THE UNIVERSITY OF NEW MEXICO AND THE BOARD OF EDUCATION OF THE CITY OF ALBUQUERQUE, NEW MEXICO (KNME)",0001608025,No,C,22.5,66297,1491682,10/11/2016,09/04/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FRANZ JOACHIM,fjoachim@nmpbs.org,(505)277-2121
WHR754,ED,Clearwire Spectrum Holdings III LLC,0018399998,Yes,A,22.5,193410,4351725,02/13/2022,12/14/2030,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
WHR760,ED,Clearwire Spectrum Holdings III LLC,0018399998,Yes,G,22.5,2670507,60086408,02/10/2022,09/04/2026,No,No,L000006027,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,09/04/2026,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
WHR752,ED,Clearwire Spectrum Holdings III LLC,0018399998,Yes,C,22.5,271925,6118312,02/13/2022,04/09/2028,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
WHR758,ED,EMERSON COLLEGE - IT Dept.,0003632627,No,C,22.5,1976745,44476762,07/16/2019,09/04/2026,No,No,L000009965,"Clearwire Spectrum Holdings II, LLC",Yes,09/29/2012,09/04/2026,Francis Frain,francis_frain@emerson.edu,(617)824-8294
WHR767,ED,"Connecticut Public Broadcasting, Inc.",0003574662,No,A,22.5,1301961,29294122,02/11/2020,10/07/2026,No,No,L000000349,"NSAC, LLC",Yes,10/26/2021,01/23/2026,Meg Sakellarides,msakellarides@cptv.org,(860)275-7334
WHR761,ED,RURAL CALFORNIA BROADCASTING CORP.,0004367397,No,B,22.5,1063047,23918558,11/02/2018,08/21/2028,No,No,L000001647,"Clearwire Spectrum Holdings II, LLC",Yes,01/06/2007,01/10/2027,Larry Stratton,larry_stratton@krcb.org,(707)584-2059
WHR769,ED,Clearwire Spectrum Holdings III LLC,0018399998,Yes,A,22.5,1361546,30634785,02/13/2022,11/01/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
WHR772,ED,LOS RIOS COMMUNITY COLLEGE DISTRICT,0006653471,No,G,22.5,2188922,49250745,12/13/2016,11/01/2026,No,No,L000009885,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,11/01/2026,Kirk Sosa,Sosak@CRC.losrios.edu,(916)691-7474
WHR757,ED,JEFFERSON COUNTY SCHOOL BOARD,0015445158,No,G,22.5,453785,10210162,10/13/2016,09/04/2026,No,No,L000002631,CLEARWIRE SPECTRUM HOLDINGS LLC,Yes,01/05/2008,09/14/2022,Tom Vogelgesang,tom.vogelgesang@jeffersonschooldistrict.org,(850)342-0100
WHR771,ED,CHEMEKETA COMMUNITY COLLEGE DISTRICT,0001557990,No,A,22.5,650682,14640345,11/22/2016,11/01/2026,No,No,L000022733,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,11/01/2026,STEVE VINCENT,steve.vincent@chemeketa.edu,(503)399-2545
WHR770,ED,Lake Sumter State College,0001817964,No,D,22.5,509719,11468678,09/27/2016,11/01/2026,No,No,L000000271,CLEARWIRE SPECTRUM HOLDINGS LLC,Yes,10/31/2005,11/01/2026,Doug Guiler,guilerd@lssc.edu,(352)365-3542
WHR773,ED,"Board of Regents of the Nevada System of Higher Education on behalf of the University of Nevada, Reno",0008265530,No,A,22.5,447084,10059390,11/29/2016,11/05/2026,No,No,L000009938,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,11/05/2026,Kathlin Ray,kray@unr.edu,(775)682-5677
WHR765,ED,Clearwire Spectrum Holdings III LLC,0018399998,Yes,C,22.5,92775,2087438,02/13/2022,04/08/2027,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
WHR779,ED,"Daytona State College, Inc.",0004573416,No,D,22.5,626403,14094068,06/19/2019,04/09/2028,No,No,L000041905,SoniqWave Networks LLC,No,07/31/2020,04/09/2028,Larry Lowe,lowel@daytonastate.edu,(386)506-3508
WHR774,ED,"Board of Regents of the Nevada System of Higher Education on behalf of the University of Nevada, Reno",0008265530,No,C,22.5,186119,4187678,11/29/2016,11/05/2026,No,No,L000009937,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,11/05/2026,Kathlin Ray,kray@unr.edu,(775)682-5677
WHR791,ED,Oklahoma City University,0008248221,No,B,22.5,1339876,30147210,05/04/2021,02/13/2031,No,No,L000043694,"WBSY Licensing, LLC",Yes,06/17/2021,02/13/2031,Casey Ross,cross@okcu.edu,(405)208-5979
WHR783,ED,"Daytona State College, Inc.",0004573416,No,B,22.5,523810,11785725,06/19/2019,04/09/2028,No,No,L000041908,SoniqWave Networks LLC,No,07/31/2020,04/09/2028,Larry Lowe,lowel@daytonastate.edu,(386)506-3508
WHR777,ED,LORAIN COUNTY COMMUNITY COLLEGE,0002940344,No,G,22.5,1969814,44320815,10/17/2016,11/04/2026,No,No,L000002580,"Clearwire Spectrum Holdings II, LLC",Yes,11/28/2007,11/04/2026,William Green,wgreen@lorainccc.edu,(440)366-7697
WHR790,ED,SOUTHERN FLORIDA INSTRUCT'L TV INC,0008094104,No,D,22.5,3500726,78766335,01/23/2017,12/18/2026,No,No,L000003873,"Clearwire Spectrum Holdings II, LLC",Yes,08/23/2008,12/18/2026,Yvette Brown,ybrown@mail.barry.edu,(305)899-3600
WHR780,ED,School District No. 1 City and County of Denver,0007243173,No,G,22.5,2833771,63759848,01/11/2017,11/22/2026,No,No,L000010959,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,11/22/2026,Alex Sund,ALEX_SUND@dpsk12.org,(720)423-3200
WHR795,ED,"BLUE RIDGE PUBLIC TELEVISION, INC",0004654091,No,C,22.5,474492,10676070,11/15/2016,12/20/2026,No,No,L000022754,"NSAC, LLC",Yes,10/26/2021,12/20/2026,JAMES BAUM,JBAUM@BLUERIDGEPBS.ORG,(540)983-1776
WHR801,ED,PANHANDLE AREA EDUCATIONAL CONSORTIUM,0006279871,No,G,22.5,195865,4406962,05/31/2017,05/27/2027,No,No,L000039232,"Fixed Wireless Holdings, LLC",Yes,10/23/2021,05/27/2027,Lele Sobey,lele.sobey@paec.org,(850)638-6131
WHR784,ED,SWWC Service Cooperative,0013478003,No,G,22.5,92727,2086358,10/31/2016,11/21/2026,No,No,L000002008,"Clearwire Spectrum Holdings II, LLC",Yes,05/26/2007,11/21/2026,Josh Sumption,josh.sumption@swsc.org,(507)537-2240
WHR798,ED,Trustees of Indiana University,0005994272,No,D,22.5,660770,14867325,01/24/2020,10/18/2025,No,No,L000008368,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,10/18/2025,"Marianne Chitwood, Director",chitwood@iu.edu,(812)855-0614
WHR805,ED,SW/WC Service Cooperative,0013478003,No,C,22.5,71745,1614262,03/21/2017,04/09/2027,No,No,L000003703,"Clearwire Spectrum Holdings II, LLC",Yes,05/03/2008,04/09/2027,Josh Sumption,josh.sumption@swsc.org,(507)537-2240
WHR797,ED,"CALIFORNIA STATE UNIVERSITY, BAKERSFIELD",0001650050,No,A,22.5,701911,15792998,03/15/2017,03/14/2027,No,No,L000000325,"NSAC, LLC",Yes,10/26/2021,02/10/2026,Faust Gorham,fgorham@csub.edu,(661)654-3425
WHR802,ED,Clearwire Spectrum Holdings III LLC,0018399998,Yes,C,6.0,9141330,54847980,09/10/2021,03/14/2027,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplainceContact@t-mobile.com,(425)383-8401
WHR800,ED,Panhandle Area Educational Consortium,0006279871,No,G,22.5,211772,4764870,04/24/2020,04/13/2030,No,No,L000039231,"Fixed Wireless Holdings, LLC",Yes,10/23/2021,04/13/2030,Lucia Esquivel,lucia.esquivel@paec.org,(850)638-6131
WHR806,ED,Innovative Technology Education Fund,0005043591,No,B,22.5,2473896,55662660,03/15/2017,04/09/2027,No,No,L000045313,"Clearwire Spectrum Holdings III, LLC",Yes,11/11/2021,04/09/2027,Charmaine Smith,csmith@innovteched.com,(314)725-4833
WHR804,ED,CONNECTICUT PUBLIC BROADCAST INC,0003574662,No,A,22.5,166876,3754710,02/11/2020,02/19/2027,No,No,L000004113,"NSAC, LLC",Yes,10/26/2021,01/23/2026,MEG SAKELLARIDES,msakellarides@cptv.org,(860)275-7334
WHR803,ED,SW/WC Service Cooperative,0013478003,No,G,22.5,66922,1505745,03/21/2017,04/09/2027,No,No,L000003702,"Clearwire Spectrum Holdings II, LLC",Yes,05/03/2008,04/09/2027,Josh Sumption,josh.sumption@swsc.org,(507)537-2240
WHR807,ED,UNIVERSITY OF MARYLAND,0002149318,No,B,22.5,2301728,51788880,04/04/2017,01/26/2027,No,No,L000040830,"WBSY Licensing, LLC",Yes,02/28/2020,01/26/2026,"Marty Ronning, Assistant Director",cronning@umd.edu,(301)405-4899
WHR810,ED,MILWAUKEE AREA TECHNICAL COLLEGE DISTRICT BOARD,0002687499,No,G,22.5,1826560,41097600,04/25/2017,04/09/2027,No,No,L000002644,"Clearwire Spectrum Holdings II, LLC",Yes,01/15/2008,04/09/2027,Kevin Kukowski,kukowskk@matc.edu,(414)297-7576
WHR818,ED,University of North Carolina System Office,0005794433,No,B,22.5,771467,17358008,02/06/2019,04/02/2027,No,No,L000002021,"Fixed Wireless Holdings, LLC",Yes,10/23/2021,04/02/2027,Tom Shanahan,tcshanahan@northcarolina.edu,(919)962-4588
WHR816,ED,EAST TENNESSEE STATE UNIVERSITY,0001757483,No,A,22.5,572309,12876952,06/01/2017,05/27/2027,No,No,L000043718,"WBSY Licensing, LLC",Yes,07/02/2021,05/27/2027,Daniel O'Brien,obriendj@etsu.edu,(423)439-7743
WHR808,ED,THE TRUSTEES OF INDIANA UNIVERSITY,0007968795,No,B,22.5,1583881,35637322,01/18/2020,04/09/2027,No,No,L000022830,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,04/09/2027,"Marianne Chitwood, Director",chitwood@iu.edu,(812)855-0614
WHR819,ED,"CALIFORNIA STATE UNIVERSITY, FRESNO",0004120317,No,D,22.5,84559,1902578,05/02/2017,05/27/2027,No,No,L000009967,"Clearwire Spectrum Holdings II, LLC",Yes,09/29/2012,05/27/2027,"Orlando Leon, CIO",oleon@csufresno.edu,(559)278-3923
WHR817,ED,EAST TENNESSEE STATE UNIVERSITY,0001757483,No,D,22.5,579347,13035308,06/01/2017,05/27/2027,No,No,L000043719,"WBSY Licensing, LLC",Yes,07/02/2021,05/27/2027,William Rasnick,Rasnick@etsu.edu,(423)439-7900
WHR823,ED,Trustees of Indiana University,0005994272,No,G,22.5,119482,2688345,01/24/2020,05/17/2027,No,No,L000045004,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,05/17/2027,"Marianne Chitwood, Director",chitwood@iu.edu,(812)855-0614
WHR826,ED,"Metropolitan Indianapolis Public Media, Inc.",0005276407,No,C,22.5,1617578,36395505,04/06/2018,07/29/2027,No,No,L000021050,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,07/29/2027,Steve Jensen,sjensen@wfyi.org,(317)614-0412
WHR814,ED,The Board of Trustees of the Leland Stanford Junior University,0007015191,No,G,22.5,1473992,33164820,05/15/2019,05/27/2027,No,No,L000021034,Sprint Spectrum License Holder LLC,Yes,10/26/2021,05/27/2027,Scott Calvert,scalvert@stanford.edu,(650)736-7755
WHR815,ED,MADISON AREA TECHNICAL COLLEGE,0012235545,No,D,22.5,766963,17256668,08/30/2017,07/29/2027,No,No,L000007351,"Independent Spectrum Madison, LLC",No,05/27/2010,07/29/2027,Paul Thomas,PJThomas@madisoncollege.edu,(608)243-4500
WHR829,ED,"Hispanic Information and Telecommunications Network, Inc.",0006620348,No,C,11.0,15070030,165770330,06/06/2017,05/27/2027,No,No,L000020087,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,05/01/2026,"Jonathan Guerra, General Counsel",jguerra@hitn.org,(646)731-3630
WHR822,ED,NEW JERSEY PUBLIC BROADCASTING AUTHORITY,0004368007,No,G,22.5,2469164,55556190,05/02/2017,05/27/2027,No,No,L000043910,"WBSY Licensing, LLC",Yes,08/18/2021,05/27/2027,"Rick Williams, Deputy Director",Rick.Williams@treas.nj.gov,(609)777-5257
WHR820,ED,UNIVERSITY OF SOUTH FLORIDA,0007998925,No,B,22.5,647054,14558715,08/04/2017,07/29/2027,No,No,L000007744,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,07/29/2027,Ted Netterfield,ted@usf.edu,(813)974-1793
WHR825,ED,BOARD OF TRUSTEES OF VINCENNES UNIVERSITY,0007205511,No,C,22.5,335895,7557638,01/17/2020,05/27/2027,No,No,L000044999,Clearwire Spectrum Holdings III LLC,Yes,10/26/2021,05/27/2027,"Marianne Chitwood, Director",chitwood@iu.edu,(812)855-0614
